id,title,creator,source,media_type,quality_grade,access_status,topics,url
PA-0014,Fighter Sprite Faces (female),st0ven,Lospec catalog / original article,article,B,full-text,人物与角色 | 光照与体积 | 调色板与明度 | 轮廓与像素簇,http://web.archive.org/web/20070419050425/http://www.spriteart.com:80/tutorials/02_fighter_face01.html
PA-0015,Fighter Sprite Faces (male),st0ven,Lospec catalog / original article,article,B,full-text,人物与角色 | 光照与体积 | 调色板与明度 | 轮廓与像素簇,http://web.archive.org/web/20070419035334/http://www.spriteart.com:80/tutorials/02_fighter_face00.html
PA-0016,Fighter Sprites ('gi-clone'),st0ven,Lospec catalog / original article,article,B,full-text,人物与角色 | 光照与体积 | 调色板与明度 | 材质与纹理,http://web.archive.org/web/20070419050453/http://www.spriteart.com:80/tutorials/03_fighter_sprite.html
PA-0017,Form and Light,Jason Perry,Lospec catalog / original article,article,B,full-text,光照与体积 | 人物与角色 | 轮廓与像素簇 | 调色板与明度,http://finalbossblues.com/form-and-light/
PA-0018,FoY Tutorial I - an archeological dig in a vaguely Mediterranean country,Misja van Laatum,Lospec catalog / original article,article,B,full-text,工具与导出 | 场景与透视 | 调色板与明度 | 光照与体积,https://web.archive.org/web/20130604154027/http://www.barnettcollege.com/tutorial1.htm
PA-0019,Give your sprites depth with sub-pixel animation,Kiwi,Lospec catalog / original article,article,B,full-text,人物与角色 | 动画 | 轮廓与像素簇 | 调色板与明度,https://2dwillneverdie.com/tutorial/give-your-sprites-depth-with-sub-pixel-animation/
PA-0020,Handmade Antialiasing,Nemesis42,Lospec catalog / original article,article,B,full-text,光照与体积 | 人物与角色 | 调色板与明度 | 场景与透视,http://www.gas13.ru/v3/tutorials/handmade_antialiasing.php
PA-0021,How to do a pixel head,Craig Robinson,Lospec catalog / original article,article,B,full-text,人物与角色 | 光照与体积,https://web.archive.org/web/20080211140253/http://flipflopflyin.com/g/2006/06/how-to-do-pixel-head.html
PA-0022,How to Pixel With Photoshop Tutorial,Hannes Drexl,Lospec catalog / original article,article,B,full-text,调色板与明度 | 抗锯齿与抖动 | 工具与导出 | 构图与尺度,http://www.elitepigs.de/blog/archives/78
PA-0023,Improve your pixel art sprites,Marmontel Boris,Lospec catalog / original article,article,B,full-text,调色板与明度 | 轮廓与像素簇 | 光照与体积 | 场景与透视,https://oni1ink.deviantart.com/journal/Improve-your-pixel-art-sprites-645794349
PA-0024,Interlacing Scanlines,st0ven,Lospec catalog / original article,article,B,full-text,调色板与明度 | 人物与角色 | 动画 | 材质与纹理,http://web.archive.org/web/20070202185256/http://spriteart.com:80/tutorials/01_interlace.html
PA-0025,Introduction to Pixel Art,Richard Janes,Lospec catalog / original article,article,B,full-text,调色板与明度 | 光照与体积 | 人物与角色 | 构图与尺度,http://rjanes.com/tutorials/introduction_to_pixel_art.php
PA-0026,Isometric Pixelart Tutorial Part 1: Setting up Photoshop for Square-Pushing,Gunstar Red,Lospec catalog / original article,article,B,full-text,人物与角色 | 场景与透视 | 调色板与明度 | 图块与地形,http://www.gas13.ru/v3/tutorials/isometric_pixelart_tutorial_setup_photoshop_for_pixelart.php
PA-0027,Isometric Pixelart Tutorial Part 2: The Mathematics of Isometrics,Gunstar Red,Lospec catalog / original article,article,B,full-text,场景与透视 | 人物与角色 | 图块与地形,http://gas13.ru/v3/tutorials/isometric_pixelart_tutorial_mathematics_of_isometrics.php
PA-0028,Isometric Pixelart Tutorial Part 3: The Two Types,Gunstar Red,Lospec catalog / original article,article,B,full-text,人物与角色 | 场景与透视 | 图块与地形,http://www.gas13.ru/v3/tutorials/isometric_pixelart_tutorial_the_two_types.php
PA-0029,Isometric Pixelart Tutorial Part 4: Throwing Shapes,Gunstar Red,Lospec catalog / original article,article,B,full-text,人物与角色 | 场景与透视 | 图块与地形 | 工具与导出,http://www.gas13.ru/v3/tutorials/isometric_pixelart_tutorial_throwing_shapes.php
PA-0030,Isometric Pixelart Tutorial Part 5: Light Sources and Colours,Gunstar Red,Lospec catalog / original article,article,B,full-text,人物与角色 | 场景与透视 | 轮廓与像素簇 | 调色板与明度,http://www.gas13.ru/v3/tutorials/isometric_pixelart_tutorial_light_sources_and_colours.php
PA-0031,Isometric Pixelart Tutorial Part 6: Let's Build an Isometric House,Gunstar Red,Lospec catalog / original article,article,B,full-text,场景与透视 | 人物与角色 | 调色板与明度 | 光照与体积,http://www.gas13.ru/v3/tutorials/isometric_pixelart_tutorial_isometric_house.php
PA-0032,Isometric Pool,Davit Masia,Lospec catalog / original article,article,B,full-text,调色板与明度 | 场景与透视 | 人物与角色 | 图块与地形,http://www.gas13.ru/v3/tutorials/isomteric_pool_pixel_art_tutorial.php
PA-0033,Isometric Tile: 1:1 ratio,st0ven,Lospec catalog / original article,article,B,full-text,场景与透视 | 图块与地形 | 构图与尺度 | 材质与纹理,http://web.archive.org/web/20070428203805/http://www.spriteart.com:80/tutorials/02_iso_1to1.html
PA-0034,Isometric Tile: 2:1 ratio,st0ven,Lospec catalog / original article,article,B,full-text,图块与地形 | 场景与透视 | 材质与纹理 | 光照与体积,http://web.archive.org/web/20070401215340/http://spriteart.com:80/tutorials/02_iso_2to1.html
PA-0035,Kiwi’s 7-step program for learning pixel art,Kiwi,Lospec catalog / original article,article,B,full-text,人物与角色 | 光照与体积 | 调色板与明度 | 构图与尺度,https://2dwillneverdie.com/blog/kiwis-7-step-program-for-learning-pixel-art/
PA-0036,Learn better anti-aliasing for your pixel art,Kiwi,Lospec catalog / original article,article,B,full-text,抗锯齿与抖动 | 调色板与明度 | 人物与角色 | 光照与体积,https://2dwillneverdie.com/tutorial/learn-better-anti-aliasing-for-your-pixel-art/
PA-0037,Learn How to Draw Hand-crafted Pixel Art in Photoshop,Russell Tate,Lospec catalog / original article,article,B,full-text,场景与透视 | 调色板与明度 | 轮廓与像素簇 | 工具与导出,https://design.tutsplus.com/articles/learn-how-to-draw-hand-crafted-pixel-art-in-photoshop--psd-5284
PA-0038,Les Forges Pixel Art Course Chapter 1: The Right Tools,Antoine Gersant,Lospec catalog / original article,article,B,full-text,动画 | 材质与纹理 | 图块与地形 | 调色板与明度,https://opengameart.org/content/chapter-1-the-right-tools
PA-0039,Les Forges Pixel Art Course Chapter 2: Lines and Curves,Antoine Gersant,Lospec catalog / original article,article,B,full-text,轮廓与像素簇 | 动画 | 材质与纹理 | 图块与地形,https://opengameart.org/content/chapter-2-lines-and-curves
PA-0040,Les Forges Pixel Art Course Chapter 3: Perspectives,Antoine Gersant,Lospec catalog / original article,article,B,full-text,场景与透视 | 材质与纹理 | 图块与地形 | 动画,https://opengameart.org/content/chapter-3-perspectives
PA-0041,Les Forges Pixel Art Course Chapter 4: Shadow and light,Antoine Gersant,Lospec catalog / original article,article,B,full-text,光照与体积 | 动画 | 材质与纹理 | 调色板与明度,https://opengameart.org/content/chapter-4-shadow-and-light
PA-0042,Les Forges Pixel Art Course Chapter 5: Color Palettes,Antoine Gersant,Lospec catalog / original article,article,B,full-text,调色板与明度 | 材质与纹理 | 动画 | 场景与透视,https://opengameart.org/content/chapter-5-color-palettes
PA-0043,Les Forges Pixel Art Course Chapter 6: Anti-aliasing,Antoine Gersant,Lospec catalog / original article,article,B,full-text,调色板与明度 | 场景与透视 | 动画 | 材质与纹理,https://opengameart.org/content/chapter-6-anti-aliasing
PA-0044,Les Forges Pixel Art Course Chapter 7: Textures and Dithering,Antoine Gersant,Lospec catalog / original article,article,B,full-text,材质与纹理 | 人物与角色 | 调色板与明度 | 光照与体积,https://opengameart.org/content/chapter-7-textures-and-dithering
PA-0045,Les Forges Pixel Art Course Chapter 8: A world of tiles,Antoine Gersant,Lospec catalog / original article,article,B,full-text,场景与透视 | 图块与地形 | 调色板与明度 | 光照与体积,https://opengameart.org/content/chapter-8-a-world-of-tiles
PA-0046,Les Forges Pixel Art Course Preface,Antoine Gersant,Lospec catalog / original article,article,B,full-text,动画 | 材质与纹理 | 图块与地形 | 调色板与明度,https://opengameart.org/content/les-forges-pixel-art-course
PA-0047,Line weight thickness in sprites,Kiwi,Lospec catalog / original article,article,B,full-text,轮廓与像素簇 | 光照与体积 | 人物与角色 | 调色板与明度,https://2dwillneverdie.com/tutorial/line-weight-thickness-in-sprites/
PA-0048,Lines and Curves,st0ven,Lospec catalog / original article,article,B,full-text,场景与透视 | 轮廓与像素簇 | 调色板与明度 | 光照与体积,http://web.archive.org/web/20070403061225/http://www.spriteart.com:80/tutorials/01_lines.html
PA-0049,Mark's Pixel Art Tutorial: Shading,Natomic,Lospec catalog / original article,article,B,full-text,光照与体积 | 调色板与明度 | 场景与透视 | 材质与纹理,https://web.archive.org/web/20120625140733/http://www.natomic.com:80/hosted/marks/mpat/shading.html
PA-0050,Mini Tutorial: Choosing better colors for AA,Pix3M,Lospec catalog / original article,article,B,full-text,调色板与明度 | 抗锯齿与抖动,https://pix3m.deviantart.com/art/Mini-Tutorial-Choosing-better-colors-for-AA-369986879
PA-0051,Picking the best colors for your sprite,Kiwi,Lospec catalog / original article,article,B,full-text,调色板与明度 | 人物与角色 | 光照与体积 | 场景与透视,https://2dwillneverdie.com/tutorial/picking-the-best-colors-for-your-sprite/
PA-0052,Pixel a Capcom Background,Kiwi,Lospec catalog / original article,article,B,full-text,调色板与明度 | 工具与导出 | 场景与透视 | 抗锯齿与抖动,https://2dwillneverdie.com/tutorial/pixel-a-capcom-background/
PA-0053,Pixel Art & Adobe Photoshop,drububu,Lospec catalog / original article,article,B,full-text,调色板与明度 | 工具与导出 | 场景与透视,http://www.drububu.com/tutorial/pixel-art-and-photoshop.html
PA-0054,Pixel Art & MS Paint,drububu,Lospec catalog / original article,article,B,full-text,调色板与明度 | 轮廓与像素簇 | 构图与尺度 | 场景与透视,http://www.drububu.com/tutorial/pixel-art-and-ms-paint.html
PA-0055,Pixel Art & Scaling,drububu,Lospec catalog / original article,article,B,full-text,调色板与明度 | 动画 | 工具与导出 | 抗锯齿与抖动,http://www.drububu.com/tutorial/scaling-pixel-art.html
PA-0056,Pixel Art Dithering Tutorial - What is Dithering,SpriteLand,Lospec catalog / original article,article,B,full-text,调色板与明度 | 抗锯齿与抖动,http://www.spriteland.com/tutorials/pixel-art-dithering-tutorial-what-is-dithering.html
PA-0057,Pixel Art Outline & Shading,drububu,Lospec catalog / original article,article,B,full-text,光照与体积 | 轮廓与像素簇 | 调色板与明度 | 场景与透视,http://www.drububu.com/tutorial/pixel-art-and-shading.html
PA-0058,Pixel Art Outlines,Sam Keddy,Lospec catalog / original article,article,B,full-text,轮廓与像素簇 | 调色板与明度 | 人物与角色 | 场景与透视,http://samkeddy.com/pixel-art-outlines/
PA-0059,Pixel Art Outlines Part 2: Using Color,Sam Keddy,Lospec catalog / original article,article,B,full-text,调色板与明度 | 轮廓与像素簇 | 场景与透视 | 光照与体积,http://samkeddy.com/pixel-art-outlines-part-2-using-color/
PA-0060,Pixel Art Tutorial,Niklas Janson,Lospec catalog / original article,article,B,full-text,调色板与明度 | 场景与透视 | 光照与体积 | 人物与角色,http://androidarts.com/pixtut/pixelart.htm
PA-0061,Pixel Art Tutorial,Derek Yu,Lospec catalog / original article,article,B,full-text,人物与角色 | 调色板与明度 | 光照与体积 | 轮廓与像素簇,http://makegames.tumblr.com/post/42648699708/pixel-art-tutorial
PA-0062,Pixel Art Tutorial,drububu,Lospec catalog / original article,article,B,full-text,场景与透视 | 调色板与明度 | 光照与体积 | 轮廓与像素簇,http://www.drububu.com/tutorial/
PA-0063,Pixel Art Tutorial: London Bus,Hervé Piton,Lospec catalog / original article,article,B,full-text,调色板与明度 | 轮廓与像素簇 | 光照与体积 | 构图与尺度,https://16couleurs.wordpress.com/tutoriels/pixel-art-tutorial-london-bus/
PA-0064,Pixel Face,Kazuya Mochu,Lospec catalog / original article,article,B,full-text,人物与角色 | 调色板与明度 | 场景与透视 | 光照与体积,http://www.gas13.ru/v3/tutorials/pixel_face.php
PA-0065,Pixel tutorial - Seven solutions to color banding,Pix3M,Lospec catalog / original article,article,B,full-text,调色板与明度 | 抗锯齿与抖动 | 光照与体积 | 材质与纹理,https://pix3m.deviantart.com/art/Pixel-tutorial-Seven-solutions-to-color-banding-373403454
PA-0066,Pixelblog - 1 - Color Palettes,Slynyrd,Lospec catalog / original article,article,B,full-text,调色板与明度 | 工具与导出 | 构图与尺度,http://www.slynyrd.com/blog/2018/1/10/pixelblog-1-color-palettes
PA-0067,Pixelblog - 2 - Texture,Slynyrd,Lospec catalog / original article,article,B,full-text,材质与纹理 | 调色板与明度 | 光照与体积 | 场景与透视,http://www.slynyrd.com/blog/2018/2/15/pixelblog-2-texture
PA-0068,Pixelling A Monster Sprite Tutorial,Richard Janes,Lospec catalog / original article,article,B,full-text,光照与体积 | 人物与角色 | 调色板与明度 | 轮廓与像素簇,http://rjanes.com/tutorials/pixelling_a_monster_sprite.php
PA-0069,Pixelsource Guides Advanced,Stava,Lospec catalog / original article,article,B,full-text,材质与纹理 | 场景与透视 | 光照与体积 | 人物与角色,http://www.pixelsource.org/Advanced.html
PA-0070,Pixelsource Guides Basic,Roefl,Lospec catalog / original article,article,B,full-text,光照与体积 | 场景与透视 | 人物与角色 | 材质与纹理,http://www.pixelsource.org/Basic.html
PA-0071,Read Between the Pixels,Jason Perry,Lospec catalog / original article,article,B,full-text,调色板与明度 | 人物与角色 | 光照与体积 | 动画,http://finalbossblues.com/read-between-the-pixels/
PA-0072,Realistic Waterflow Imitation,Sergey Kanev,Lospec catalog / original article,article,B,full-text,场景与透视 | 人物与角色 | 动画 | 工具与导出,http://www.gas13.ru/v3/tutorials/waterflow_imitation.php
PA-0073,Resizing your sprites with Nearest Neighbor,Kiwi,Lospec catalog / original article,article,B,full-text,工具与导出 | 人物与角色 | 调色板与明度 | 光照与体积,https://2dwillneverdie.com/tutorial/resizing-your-sprites-with-nearest-neighbor/
PA-0074,Reverse Anti-Alaising,st0ven,Lospec catalog / original article,article,B,full-text,场景与透视 | 人物与角色 | 轮廓与像素簇 | 调色板与明度,http://web.archive.org/web/20070410072931/http://www.spriteart.com:80/tutorials/01_revAA.html
PA-0075,RPG Characters ('RTP' and 'Tall'),st0ven,Lospec catalog / original article,article,B,full-text,人物与角色 | 调色板与明度 | 工具与导出 | 轮廓与像素簇,http://web.archive.org/web/20070304111439/http://www.spriteart.com:80/tutorials/02_rpg_hero.html
PA-0076,RPG Enemies,st0ven,Lospec catalog / original article,article,B,full-text,调色板与明度 | 光照与体积 | 人物与角色 | 轮廓与像素簇,http://web.archive.org/web/20070331130340/http://spriteart.com:80/tutorials/03_rpg_enemy.html
PA-0077,RPG Pixel Art: Working Fast,Jason Perry,Lospec catalog / original article,article,B,full-text,工具与导出 | 动画 | 人物与角色 | 调色板与明度,http://finalbossblues.com/rpg-pixel-art-working-fast/
PA-0078,RPG Summon (Dragon),st0ven,Lospec catalog / original article,article,B,full-text,调色板与明度 | 光照与体积 | 轮廓与像素簇 | 图块与地形,http://web.archive.org/web/20070331130548/http://spriteart.com:80/tutorials/04_rpg_summon.html
PA-0079,Semi-Transparency (dither),st0ven,Lospec catalog / original article,article,B,full-text,抗锯齿与抖动 | 调色板与明度 | 人物与角色 | 图块与地形,http://web.archive.org/web/20070401215548/http://spriteart.com:80/tutorials/01_trans00.html
PA-0080,Speed Spriting in Photoshop,Kiwi,Lospec catalog / original article,article,B,full-text,调色板与明度 | 工具与导出 | 人物与角色 | 光照与体积,https://2dwillneverdie.com/tutorial/speed-spriting-in-photoshop/
PA-0081,Starting with the Basics: Workflow,Kiwi,Lospec catalog / original article,article,B,full-text,场景与透视 | 人物与角色 | 调色板与明度 | 光照与体积,https://2dwillneverdie.com/tutorial/starting-with-the-basics-workflow/
PA-0082,The best pixel art tools for making your own game,Lauren Morton,Lospec catalog / original article,article,B,full-text,工具与导出 | 图块与地形 | 调色板与明度 | 构图与尺度,https://www.pcgamer.com/best-pixel-art-maker-tools/
PA-0083,The Making Of: El Zombo,Kiwi,Lospec catalog / original article,article,B,full-text,工具与导出 | 人物与角色 | 光照与体积 | 调色板与明度,https://2dwillneverdie.com/tutorial/the-making-of-el-zombo/
PA-0084,The Making Of: Tekken Megaman sprite,Kiwi,Lospec catalog / original article,article,B,full-text,工具与导出 | 调色板与明度 | 光照与体积 | 人物与角色,https://2dwillneverdie.com/tutorial/the-making-of-tekken-megaman-sprite/
PA-0085,The Pixel Aesthetic,Alex Hanson-White,Lospec catalog / original article,article,B,full-text,调色板与明度 | 人物与角色 | 材质与纹理 | 光照与体积,http://www.alexhw.com/pixelAesthetic.html
PA-0086,The Pixel-Zone - The Grass Tile,st0ven,Lospec catalog / original article,article,B,full-text,场景与透视 | 图块与地形 | 调色板与明度 | 光照与体积,https://web.archive.org/web/20120421122241/http://pixel-zone.rpgdx.net:80/shtml/tutmini-grass.shtml
PA-0087,The RPG Base’s Four Directions,Jason Perry,Lospec catalog / original article,article,B,full-text,人物与角色 | 轮廓与像素簇 | 场景与透视 | 光照与体积,http://finalbossblues.com/the-rpg-bases-four-directions/
PA-0088,Thinking in Color,Jason Perry,Lospec catalog / original article,article,B,full-text,调色板与明度 | 人物与角色 | 光照与体积 | 构图与尺度,http://finalbossblues.com/thinking-in-color/
PA-0089,Tiling Tiles,Jason Perry,Lospec catalog / original article,article,B,full-text,场景与透视 | 图块与地形 | 调色板与明度 | 光照与体积,http://finalbossblues.com/tiling-tiles/
PA-0090,Tutorial: How to Make a Run Cycle in Pixel Art,Glauber Kotaki,Lospec catalog / original article,article,B,full-text,动画 | 人物与角色 | 工具与导出,http://www.lessmilk.com/tutorial/pixel-art-run-cycle
PA-0091,Tutorial: Walking Animation for Low-Res Sprites,Manning Krull,Lospec catalog / original article,article,B,full-text,动画 | 人物与角色 | 工具与导出 | 光照与体积,https://web.archive.org/web/20111229192117/http://www.manningkrull.com:80/pixel_art/tutorials/walking.asp
PA-0092,Using and Choosing Colors,Jason Perry,Lospec catalog / original article,article,B,full-text,调色板与明度 | 光照与体积 | 人物与角色 | 构图与尺度,http://finalbossblues.com/using-and-choosing-colors/
PA-0093,"Walk Cycles, Part 1",Jason Perry,Lospec catalog / original article,article,B,full-text,动画 | 人物与角色 | 场景与透视 | 抗锯齿与抖动,http://finalbossblues.com/walk-cycles-p1/
PA-0094,"Walk Cycles, Part 2",Jason Perry,Lospec catalog / original article,article,B,full-text,动画 | 人物与角色 | 光照与体积 | 调色板与明度,http://finalbossblues.com/walk-cycles-part-2/
PA-0095,"Walk Cycles, Part 3",Jason Perry,Lospec catalog / original article,article,B,full-text,动画 | 人物与角色 | 调色板与明度 | 光照与体积,http://finalbossblues.com/walk-cycles-part-3/
PA-0096,allen-garvey/dithermark README,allen-garvey,GitHub,github-readme,B,full-readme,抗锯齿与抖动 | 调色板与明度 | 工具与导出,https://github.com/allen-garvey/dithermark
PA-0097,gametorch/image_to_pixel_art_wasm README,gametorch,GitHub,github-readme,B,full-readme,调色板与明度 | 构图与尺度 | 抗锯齿与抖动,https://github.com/gametorch/image_to_pixel_art_wasm
PA-0098,giventofly/pixelit README,giventofly,GitHub,github-readme,B,full-readme,构图与尺度 | 调色板与明度 | 抗锯齿与抖动,https://github.com/giventofly/pixelit
PA-0099,KennethJAllen/proper-pixel-art README,KennethJAllen,GitHub,github-readme,B,full-readme,构图与尺度 | 调色板与明度 | 轮廓与像素簇 | 动画,https://github.com/KennethJAllen/proper-pixel-art
PA-0100,learnpixelart/pixelart.howto README,learnpixelart,GitHub,github-readme,B,full-readme,人物与角色 | 构图与尺度 | 轮廓与像素簇,https://github.com/learnpixelart/pixelart.howto
PA-0101,leeoniya/RgbQuant.js README,leeoniya,GitHub,github-readme,B,full-readme,调色板与明度 | 抗锯齿与抖动,https://github.com/leeoniya/RgbQuant.js
PA-0102,LibreSprite/LibreSprite README,LibreSprite,GitHub,github-readme,B,full-readme,工具与导出 | 动画 | 调色板与明度,https://github.com/LibreSprite/LibreSprite
PA-0103,lospec/pixel-editor README,lospec,GitHub,github-readme,B,full-readme,工具与导出 | 调色板与明度,https://github.com/lospec/pixel-editor
PA-0104,Orama-Interactive/Pixelorama README,Orama-Interactive,GitHub,github-readme,B,full-readme,工具与导出 | 动画 | 图块与地形 | 调色板与明度,https://github.com/Orama-Interactive/Pixelorama
PA-0105,Retro-Diffusion/pixel-art-fixer README,Retro-Diffusion,GitHub,github-readme,B,full-readme,构图与尺度 | 轮廓与像素簇 | 调色板与明度,https://github.com/Retro-Diffusion/pixel-art-fixer
PA-0106,sedthh/pyxelate README,sedthh,GitHub,github-readme,B,full-readme,构图与尺度 | 调色板与明度 | 抗锯齿与抖动,https://github.com/sedthh/pyxelate
PA-0107,Siilwyn/awesome-pixel-art README,Siilwyn,GitHub,github-readme,B,full-readme,调色板与明度 | 动画 | 工具与导出,https://github.com/Siilwyn/awesome-pixel-art
PA-0108,theamusing/perfectPixel README,theamusing,GitHub,github-readme,B,full-readme,构图与尺度 | 轮廓与像素簇 | 调色板与明度,https://github.com/theamusing/perfectPixel
PA-0109,Aseprite documentation: animation,Aseprite,Aseprite official documentation,official-doc,A,full-text,动画 | 工具与导出 | 人物与角色,https://www.aseprite.org/docs/animation/
PA-0110,Aseprite documentation: basics,Aseprite,Aseprite official documentation,official-doc,A,full-text,工具与导出 | 人物与角色 | 动画 | 调色板与明度,https://www.aseprite.org/docs/basics/
PA-0111,Aseprite documentation: color,Aseprite,Aseprite official documentation,official-doc,A,full-text,调色板与明度 | 人物与角色 | 工具与导出 | 场景与透视,https://www.aseprite.org/docs/color/
PA-0112,Aseprite documentation: color mode,Aseprite,Aseprite official documentation,official-doc,A,full-text,调色板与明度 | 工具与导出 | 人物与角色 | 场景与透视,https://www.aseprite.org/docs/color-mode/
PA-0113,Aseprite documentation: color profile,Aseprite,Aseprite official documentation,official-doc,A,full-text,调色板与明度 | 工具与导出 | 人物与角色 | 场景与透视,https://www.aseprite.org/docs/color-profile/
PA-0114,Aseprite documentation: drawing,Aseprite,Aseprite official documentation,official-doc,A,full-text,人物与角色 | 调色板与明度 | 轮廓与像素簇 | 场景与透视,https://www.aseprite.org/docs/drawing/
PA-0115,Aseprite documentation: exporting,Aseprite,Aseprite official documentation,official-doc,A,full-text,工具与导出 | 动画 | 人物与角色 | 构图与尺度,https://www.aseprite.org/docs/exporting/
PA-0116,Aseprite documentation: files,Aseprite,Aseprite official documentation,official-doc,A,full-text,工具与导出 | 调色板与明度 | 人物与角色 | 动画,https://www.aseprite.org/docs/files/
PA-0117,Aseprite documentation: keyboard shortcuts,Aseprite,Aseprite official documentation,official-doc,A,full-text,工具与导出 | 人物与角色 | 调色板与明度,https://www.aseprite.org/docs/keyboard-shortcuts/
PA-0118,Aseprite documentation: layers,Aseprite,Aseprite official documentation,official-doc,A,full-text,工具与导出 | 场景与透视 | 调色板与明度 | 图块与地形,https://www.aseprite.org/docs/layers/
PA-0119,Aseprite documentation: preferences,Aseprite,Aseprite official documentation,official-doc,A,full-text,工具与导出 | 调色板与明度 | 人物与角色 | 动画,https://www.aseprite.org/docs/preferences/
PA-0120,Aseprite documentation: rotate,Aseprite,Aseprite official documentation,official-doc,A,full-text,构图与尺度 | 工具与导出,https://www.aseprite.org/docs/rotate/
PA-0121,Aseprite documentation: save,Aseprite,Aseprite official documentation,official-doc,A,full-text,工具与导出 | 人物与角色 | 动画,https://www.aseprite.org/docs/save/
PA-0122,Aseprite documentation: selecting,Aseprite,Aseprite official documentation,official-doc,A,full-text,人物与角色 | 工具与导出 | 构图与尺度 | 动画,https://www.aseprite.org/docs/selecting/
PA-0123,Aseprite documentation: slices,Aseprite,Aseprite official documentation,official-doc,A,full-text,工具与导出 | 人物与角色 | 调色板与明度 | 构图与尺度,https://www.aseprite.org/docs/slices/
PA-0124,Aseprite documentation: sprite,Aseprite,Aseprite official documentation,official-doc,A,full-text,人物与角色 | 工具与导出 | 调色板与明度 | 动画,https://www.aseprite.org/docs/sprite/
PA-0125,Aseprite documentation: sprite sheet,Aseprite,Aseprite official documentation,official-doc,A,full-text,工具与导出 | 人物与角色 | 材质与纹理 | 动画,https://www.aseprite.org/docs/sprite-sheet/
PA-0126,Aseprite documentation: tilemap,Aseprite,Aseprite official documentation,official-doc,A,full-text,图块与地形 | 工具与导出 | 调色板与明度 | 构图与尺度,https://www.aseprite.org/docs/tilemap/
PA-0127,Aseprite documentation: transformations,Aseprite,Aseprite official documentation,official-doc,A,full-text,人物与角色 | 工具与导出 | 构图与尺度 | 动画,https://www.aseprite.org/docs/transformations/
PA-0128,Aseprite documentation: workflow,Aseprite,Aseprite official documentation,official-doc,A,full-text,工具与导出 | 人物与角色 | 动画,https://www.aseprite.org/docs/workflow/
PA-0129,Aseprite documentation: workspace,Aseprite,Aseprite official documentation,official-doc,A,full-text,人物与角色 | 调色板与明度 | 工具与导出 | 动画,https://www.aseprite.org/docs/workspace/
